,FibCassini_cpp,FibCassini_python,FibFormulaBig_string,FibFormula_python,FibFormula_string,FibLoop_cpp,FibLoop_python,FibLoop_string,FibMatrix_cpp,FibMatrix_python,FibMatrix_string,FibRecurDP_python,FibRecur_python
40,195111.0243680887,27999.987537441484,112888.83877114131,7111.107947821438,7555.552201665705,50666.6441424386,6666.663693977171,219999.9021286203,201333.2438082216,13777.771641798608,414222.0381027073,22666.656604997115,
41,262222.1056753915,27555.543397284055,74666.63350896852,7111.107947821438,7999.996455509972,51555.532650127134,8444.44070935424,227999.89869781712,319999.85776565154,14666.660149487143,536888.6502310488,21333.323843464314,
42,170666.59086140135,35111.09548526292,76444.41052434559,7999.996455509972,8444.44070935424,50666.6441424386,6666.663693977171,238222.1163088616,224888.78892090725,17333.32555886591,611999.7279938615,24444.433620374184,
43,186222.1394048902,30666.653060507088,78222.18742603582,7555.552201665705,8444.44070935424,55555.5308210387,7555.552201665705,273333.2117941245,307110.97463154147,19111.102687929815,634666.3845988587,33777.76283741696,
44,214222.1270560185,29777.764552818553,77777.74317219155,7111.107947821438,9777.773470887041,65777.74854577001,7999.996455509972,251999.8879506602,220888.79074999568,14666.660149487143,495555.335305653,22222.212351152848,
45,147111.0457487157,28888.87604513002,69333.30246283731,6666.663693977171,7111.107947821438,51999.9769039714,6666.663693977171,259555.4401523259,263555.4384369243,16888.88141870848,633333.0518373259,22222.212351152848,
46,168444.36947849317,30666.65294682025,70666.63522437011,7111.107947821438,7999.996455509972,55555.53093472554,6666.663693977171,264444.32694461284,287999.87194361165,15999.992797333107,578221.9651564446,22666.656604997115,
47,135111.05112229416,31111.097314351355,70666.63522437011,6666.663693977171,7999.996455509972,53333.3096655042,8444.440595667402,274222.1004154999,291555.4259743658,18666.65832039871,714666.3490402716,26222.210522064415,
48,229777.67559950735,36888.87250063999,114222.17141898727,8888.884849511669,10666.661864888738,86666.6282490769,11999.99462642154,305777.64187000867,219111.0137346186,24444.433506687346,441333.1372461471,23999.989366529917,
49,189777.6933219575,30666.653060507088,75999.96615681448,6666.663693977171,10666.661864888738,83111.07410463592,7111.107947821438,337777.6275783617,237777.67216870416,15555.548657175677,611555.2837400173,23555.54511268565,
50,193777.69172024273,32888.87432972842,87999.96089692286,6666.663693977171,7555.552201665705,57333.30783641577,7999.996341823135,298666.5339221872,222666.5676516859,15555.548657175677,542221.9811634931,23999.98925284308,
51,226222.12168244005,31555.541454508784,74222.18925512425,7111.107947821438,7111.107947821438,60444.41761332564,7999.996455509972,310222.08440845134,311999.86131014157,16444.43716486421,693333.0251968072,24444.433620374184,
52,210666.57302526437,32888.874216041586,71111.07959190122,6666.663693977171,7555.552201665705,63555.52727654867,7555.552201665705,321777.6347810286,263555.4384369243,14666.660149487143,557777.5299343558,24888.877760531614,
53,170222.14660755708,33777.76283741696,78222.18742603582,7111.107947821438,7999.996455509972,55999.97507488297,15555.548657175677,327555.40996731725,263999.8826907686,18666.65832039871,780444.0975860415,40888.87067155156,
54,170222.14660755708,33777.76283741696,71555.52373205865,6666.663693977171,8444.44070935424,59555.529105637106,7111.107947821438,588444.182881176,250666.55530281423,15999.992911019945,699555.2446369402,25333.32201437588,
55,140444.3819410517,33333.31846988585,138666.60503936146,6666.663693977171,21777.76809730858,59111.08485179284,7111.107947821438,403110.9319839743,293777.6472435871,17777.769812710176,815110.7488174603,24888.877760531614,
56,198222.13414499856,34666.651231418655,68888.85820899304,7111.107947821438,7555.552201665705,63111.083136391244,7555.552201665705,362222.0611987359,221777.67914399737,15111.10440333141,523999.7672106256,25777.766268220148,
57,194666.58022793126,34222.207091261225,74222.18925512425,7555.552201665705,7999.996455509972,58222.196344104304,8444.44070935424,371999.83466962294,329333.1869826943,16444.43716486421,697333.0234814057,27555.543397284055,
58,174222.14477846865,62666.63888254698,71111.07947821438,8444.44070935424,7555.552201665705,60444.4174996388,7111.107947821438,370222.0577679327,247555.4456395912,18222.21418024128,632888.6075834816,26666.654775908682,
59,206666.5748543528,35111.09559894976,83999.96261232445,11111.106232419843,8444.44070935424,62666.63876886014,7999.996455509972,467110.90351436724,389333.1603421757,18222.214066554443,815555.1931849914,27555.543397284055,
60,203999.9093312872,37777.761008328525,75999.96627050132,6222.219440132903,9777.773470887041,64888.860038081475,7555.552201665705,393777.6027669315,258666.5517583242,16444.43716486421,619999.7244493716,26666.65488959552,
61,153333.2651888486,35555.53973910719,85777.73962770152,7111.107947821438,16888.88141870848,64888.860038081475,7555.552201665705,467555.3477682115,307999.86313923,17333.325672552746,834666.2956455476,27111.09902975295,
62,191555.47033733455,36444.428246795724,71111.07959190122,6666.663693977171,7111.107947821438,66666.63705345854,7999.996455509972,479110.8981407888,393333.15851308726,16888.88141870848,731110.7862051358,27999.987537441484,
63,169333.25809986854,70222.19097052584,68888.85832267988,7111.107947821438,7999.996455509972,91111.07056014589,8444.44070935424,427110.9213505042,549333.0892250014,20444.43533577578,901332.932699006,48444.4229869041,
64,278666.5428402557,40888.87067155156,74666.63339528168,8444.44070935424,7555.552201665705,65333.30429192574,9777.773357200203,438666.4717230815,228444.34283797455,18222.214066554443,512888.66097820573,35555.53973910719,
65,220888.79074999568,38222.20526217279,74666.63339528168,7111.107947821438,10222.217724731308,69333.30246283731,8444.44070935424,447555.35668628,327555.40996731725,15555.548657175677,846666.2903856558,29777.764552818553,
66,232888.78537641722,39555.53791001876,70222.19097052584,6666.663693977171,7111.107947821438,67555.52556114708,7999.996455509972,459555.35131270153,240888.7818319272,15111.10440333141,635110.828852703,29333.320298974286,
67,207111.01899451023,39111.09365617449,83999.96261232445,7111.107947821438,7555.552201665705,96888.84586012136,8444.44070935424,473333.12295450014,323555.4117964057,16888.88141870848,810221.8621388602,32888.874216041586,
68,274222.10030181304,41333.31503908266,71999.96809958975,7111.108061508276,7111.107947821438,67555.52556114708,8888.884849511669,480444.2309023216,519555.3246721829,15555.548657175677,602221.9546366613,30222.20880666282,
69,202222.13242959697,42222.20343308436,71111.07947821438,6666.663693977171,7555.552201665705,67555.52556114708,8444.44070935424,493777.55840396276,286222.0950419214,27999.987537441484,785777.428518486,69333.30246283731,
70,211999.90578679717,40888.87067155156,,,,68888.85832267988,7999.996455509972,744444.1135930901,269777.6578770572,15999.992911019945,973332.9007985957,30666.653060507088,
